,origin,time_hour,tailnum,year,month,day,dep_time,sched_dep_time,dep_delay,arr_delay,carrier,flight,dest,air_time,distance,hour,minute,seats,temp,dewp,humid,wind_dir,wind_speed,precip,pressure,visib,week_day,wknd,evening_rush_hour,wind_sin,wind_cos,precip_indic
84,EWR,2013-07-06 14:00,N238JB,2013,7,6,1352,1400,-8,-23,B6,2480,BOS,41,200,14,0,20,93.02,69.08,45.79,270,13.80936,0,1018.3,10,Saturday,TRUE,FALSE,-13.80936,-2.54E-15,FALSE
86,EWR,2013-07-06 17:00,N228JB,2013,7,6,1722,1730,-8,-6,B6,2580,BOS,40,200,17,30,20,93.92,68,42.91,250,13.80936,0,1017.1,10,Saturday,TRUE,TRUE,-12.97655369,-4.723079286,FALSE
87,EWR,2013-07-06 19:00,N76265,2013,7,6,1930,1912,18,0,UA,1116,BOS,40,200,19,12,149,91.04,69.08,48.71,260,11.5078,0,1016.5,10,Saturday,TRUE,FALSE,-11.33297066,-1.998308499,FALSE
90,EWR,2013-07-07 7:00,N578UA,2013,7,7,750,720,30,16,UA,440,BOS,41,200,7,20,178,82.04,71.06,69.43,220,11.5078,0,1017.6,10,Sunday,TRUE,FALSE,-7.397071255,-8.815486243,FALSE
92,EWR,2013-07-07 8:00,N17984,2013,7,7,809,810,-1,-10,EV,6069,BOS,42,200,8,10,55,84.02,71.06,65.13,230,9.20624,0,1017.5,10,Sunday,TRUE,FALSE,-7.052388994,-5.917657004,FALSE
93,EWR,2013-07-07 11:00,N316JB,2013,7,7,1119,1125,-6,-10,B6,2380,BOS,45,200,11,25,20,89.96,71.96,55.58,210,6.90468,0,1016.2,10,Sunday,TRUE,FALSE,-3.45234,-5.979628285,FALSE
94,EWR,2013-07-07 12:00,N430UA,2013,7,7,1230,1234,-4,-25,UA,244,BOS,40,200,12,34,200,91.94,71.06,50.67,220,8.05546,0,1015.8,10,Sunday,TRUE,FALSE,-5.177949878,-6.17084037,FALSE
95,EWR,2013-07-07 14:00,N39450,2013,7,7,1504,1455,9,44,UA,1116,BOS,46,200,14,55,191,95,69.98,44.42,250,14.96014,0,1014.6,10,Sunday,TRUE,FALSE,-14.05793316,-5.116669227,FALSE
96,EWR,2013-07-07 14:00,N206JB,2013,7,7,1358,1400,-2,-11,B6,2480,BOS,45,200,14,0,20,95,69.98,44.42,250,14.96014,0,1014.6,10,Sunday,TRUE,FALSE,-14.05793316,-5.116669227,FALSE
97,EWR,2013-07-07 16:00,N37466,2013,7,7,1627,1630,-3,14,UA,1090,BOS,48,200,16,30,191,93.92,69.98,45.92,230,17.2617,0,1013.4,10,Sunday,TRUE,FALSE,-13.22322936,-11.09560688,FALSE
98,EWR,2013-07-07 17:00,N33714,2013,7,7,1737,1742,-5,7,UA,1248,BOS,48,200,17,42,149,93.92,69.98,45.92,240,17.2617,0,1013.4,10,Sunday,TRUE,TRUE,-14.94907071,-8.63085,FALSE
99,EWR,2013-07-07 17:00,N348JB,2013,7,7,1727,1730,-3,5,B6,2580,BOS,58,200,17,30,20,93.92,69.98,45.92,240,17.2617,0,1013.4,10,Sunday,TRUE,TRUE,-14.94907071,-8.63085,FALSE
100,EWR,2013-07-07 19:00,N440UA,2013,7,7,1941,1920,21,-3,UA,994,BOS,42,200,19,20,200,91.04,69.08,48.71,260,13.80936,0,1013.9,10,Sunday,TRUE,FALSE,-13.59956479,-2.397970199,FALSE
104,EWR,2013-07-08 6:00,N832UA,2013,7,8,601,604,-3,0,UA,230,BOS,40,200,6,4,179,73.04,66.92,81.14,240,6.90468,0,1016.8,10,Monday,FALSE,FALSE,-5.979628285,-3.45234,FALSE
106,EWR,2013-07-08 6:00,N323JB,2013,7,8,733,608,85,77,B6,2180,BOS,41,200,6,8,20,73.04,66.92,81.14,240,6.90468,0,1016.8,10,Monday,FALSE,FALSE,-5.979628285,-3.45234,FALSE
107,EWR,2013-07-08 6:00,N425UA,2013,7,8,653,659,-6,-23,UA,751,BOS,40,200,6,59,200,73.04,66.92,81.14,240,6.90468,0,1016.8,10,Monday,FALSE,FALSE,-5.979628285,-3.45234,FALSE
108,EWR,2013-07-08 8:00,N16732,2013,7,8,813,807,6,-2,UA,1199,BOS,42,200,8,7,149,80.06,68,66.7,280,9.20624,0,1017.2,10,Monday,FALSE,FALSE,-9.066376528,1.598646799,FALSE
109,EWR,2013-07-08 8:00,N329JB,2013,7,8,829,836,-7,-13,B6,2280,BOS,43,200,8,36,20,80.06,68,66.7,280,9.20624,0,1017.2,10,Monday,FALSE,FALSE,-9.066376528,1.598646799,FALSE
111,EWR,2013-07-08 11:00,N348JB,2013,7,8,1121,1125,-4,-15,B6,2380,BOS,37,200,11,25,20,87.08,66.92,51.24,240,6.90468,0,1016.8,10,Monday,FALSE,FALSE,-5.979628285,-3.45234,FALSE
112,EWR,2013-07-08 12:00,N77525,2013,7,8,1232,1237,-5,-25,UA,1248,BOS,35,200,12,37,149,87.98,66.92,49.79,270,10.35702,0,1016.6,10,Monday,FALSE,FALSE,-10.35702,-1.90E-15,FALSE
113,EWR,2013-07-08 14:00,N197JB,2013,7,8,1403,1400,3,-9,B6,2480,BOS,35,200,14,0,20,91.04,66.02,43.83,280,11.5078,0,1015.6,10,Monday,FALSE,FALSE,-11.33297066,1.998308499,FALSE
115,EWR,2013-07-08 16:00,N818UA,2013,7,8,1656,1659,-3,-2,UA,248,BOS,51,200,16,59,179,89.06,64.94,44.92,240,12.65858,0,1015,10,Monday,FALSE,FALSE,-10.96265186,-6.32929,FALSE
116,EWR,2013-07-08 17:00,N24729,2013,7,8,1738,1742,-4,43,UA,1686,BOS,43,200,17,42,149,87.98,64.94,46.48,250,10.35702,0,1014.6,10,Monday,FALSE,TRUE,-9.732415267,-3.542309465,FALSE
117,EWR,2013-07-08 17:00,N353JB,2013,7,8,1925,1730,115,169,B6,2580,BOS,58,200,17,30,20,87.98,64.94,46.48,250,10.35702,0,1014.6,10,Monday,FALSE,TRUE,-9.732415267,-3.542309465,FALSE
119,EWR,2013-07-08 20:00,N823UA,2013,7,8,2155,2059,56,44,UA,994,BOS,39,200,20,59,179,82.94,66.92,58.51,240,12.65858,0,1016.3,10,Monday,FALSE,FALSE,-10.96265186,-6.32929,FALSE
120,EWR,2013-07-08 20:00,N339JB,2013,7,8,2229,2045,104,93,B6,2680,BOS,37,200,20,45,20,82.94,66.92,58.51,240,12.65858,0,1016.3,10,Monday,FALSE,FALSE,-10.96265186,-6.32929,FALSE
121,EWR,2013-07-08 21:00,N78448,2013,7,8,2245,2149,56,51,UA,1451,BOS,37,200,21,49,191,80.96,62.96,54.35,230,11.5078,0,1017.2,10,Monday,FALSE,FALSE,-8.815486243,-7.397071255,FALSE
122,EWR,2013-07-09 6:00,N274JB,2013,7,9,557,608,-11,-6,B6,2180,BOS,37,200,6,8,20,75.02,69.08,81.79,220,5.7539,0,1017.9,9,Tuesday,FALSE,FALSE,-3.698535627,-4.407743121,FALSE
124,EWR,2013-07-09 6:00,N822UA,2013,7,9,600,604,-4,-27,UA,230,BOS,36,200,6,4,179,75.02,69.08,81.79,220,5.7539,0,1017.9,9,Tuesday,FALSE,FALSE,-3.698535627,-4.407743121,FALSE
125,EWR,2013-07-09 8:00,N23707,2013,7,9,758,807,-9,-18,UA,1199,BOS,36,200,8,7,149,80.06,69.08,69.23,250,3.45234,0,1018.3,10,Tuesday,FALSE,FALSE,-3.244138422,-1.180769822,FALSE
126,EWR,2013-07-09 8:00,N236JB,2013,7,9,826,836,-10,-3,B6,2280,BOS,38,200,8,36,20,80.06,69.08,69.23,250,3.45234,0,1018.3,10,Tuesday,FALSE,FALSE,-3.244138422,-1.180769822,FALSE
127,EWR,2013-07-09 10:00,N23721,2013,7,9,1014,1015,-1,-11,UA,1163,BOS,44,200,10,15,149,86,68,55.04,240,9.20624,0,1017.8,10,Tuesday,FALSE,FALSE,-7.972837713,-4.60312,FALSE
129,EWR,2013-07-09 12:00,N78511,2013,7,9,1259,1237,22,32,UA,1248,BOS,43,200,12,37,149,89.06,64.94,44.92,270,10.35702,0,1017.2,10,Tuesday,FALSE,FALSE,-10.35702,-1.90E-15,FALSE
130,EWR,2013-07-09 14:00,N846UA,2013,7,9,1523,1459,24,77,UA,236,BOS,42,200,14,59,179,89.96,68,48.55,220,13.80936,0,1016.4,10,Tuesday,FALSE,FALSE,-8.876485506,-10.57858349,FALSE
131,EWR,2013-07-09 14:00,N281JB,2013,7,9,1359,1400,-1,1,B6,2480,BOS,45,200,14,0,20,89.96,68,48.55,220,13.80936,0,1016.4,10,Tuesday,FALSE,FALSE,-8.876485506,-10.57858349,FALSE
133,EWR,2013-07-09 17:00,N29717,2013,7,9,1805,1742,23,22,UA,1686,BOS,42,200,17,42,149,89.06,66.02,46.64,250,14.96014,0,1015.5,10,Tuesday,FALSE,TRUE,-14.05793316,-5.116669227,FALSE
134,EWR,2013-07-09 17:00,N317JB,2013,7,9,1744,1730,14,41,B6,2580,BOS,42,200,17,30,20,89.06,66.02,46.64,250,14.96014,0,1015.5,10,Tuesday,FALSE,TRUE,-14.05793316,-5.116669227,FALSE
136,EWR,2013-07-09 20:00,N822UA,2013,7,9,2141,2059,42,40,UA,994,BOS,37,200,20,59,179,77,69.98,78.96,260,8.05546,0,1015.9,10,Tuesday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
137,EWR,2013-07-09 20:00,N324JB,2013,7,9,2139,2045,54,61,B6,2680,BOS,39,200,20,45,20,77,69.98,78.96,260,8.05546,0,1015.9,10,Tuesday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
138,EWR,2013-07-09 21:00,N31412,2013,7,9,2213,2129,44,36,UA,1451,BOS,38,200,21,29,191,78.08,69.08,73.88,240,5.7539,0,1016.6,10,Tuesday,FALSE,FALSE,-4.983023571,-2.87695,FALSE
139,EWR,2013-07-10 6:00,N487UA,2013,7,10,711,659,12,2,UA,751,BOS,52,200,6,59,200,75.92,71.96,87.55,210,3.45234,0,1014.6,8,Wednesday,FALSE,FALSE,-1.72617,-2.989814143,FALSE
146,EWR,2013-07-10 12:00,N33294,2013,7,10,1248,1237,11,-11,UA,1248,BOS,36,200,12,37,149,84.02,73.04,69.64,220,13.80936,0,1012.4,10,Wednesday,FALSE,FALSE,-8.876485506,-10.57858349,FALSE
147,EWR,2013-07-10 14:00,N836UA,2013,7,10,2120,1459,381,396,UA,236,BOS,44,200,14,59,179,87.08,69.98,56.92,230,18.41248,0,1010.9,10,Wednesday,FALSE,FALSE,-14.10477799,-11.83531401,FALSE
148,EWR,2013-07-10 14:00,N197JB,2013,7,10,1525,1400,85,92,B6,2480,BOS,40,200,14,0,20,87.08,69.98,56.92,230,18.41248,0,1010.9,10,Wednesday,FALSE,FALSE,-14.10477799,-11.83531401,FALSE
149,EWR,2013-07-10 16:00,N848UA,2013,7,10,1659,1659,0,-9,UA,244,BOS,47,200,16,59,179,89.06,69.98,53.46,230,13.80936,0,1009.8,10,Wednesday,FALSE,FALSE,-10.57858349,-8.876485506,FALSE
150,EWR,2013-07-10 17:00,N16732,2013,7,10,1746,1742,4,34,UA,1686,BOS,44,200,17,42,149,87.98,68,51.68,240,12.65858,0,1009.4,10,Wednesday,FALSE,TRUE,-10.96265186,-6.32929,FALSE
151,EWR,2013-07-10 17:00,N273JB,2013,7,10,2110,1730,220,227,B6,2580,BOS,42,200,17,30,20,87.98,68,51.68,240,12.65858,0,1009.4,10,Wednesday,FALSE,TRUE,-10.96265186,-6.32929,FALSE
152,EWR,2013-07-10 19:00,N54711,2013,7,10,2344,1906,278,271,UA,1142,BOS,58,200,19,6,149,86,69.08,57.12,250,13.80936,0,1010.3,10,Wednesday,FALSE,FALSE,-12.97655369,-4.723079286,FALSE
154,EWR,2013-07-10 20:00,N296JB,2013,7,10,2249,2045,124,133,B6,2680,BOS,46,200,20,45,20,84.92,69.98,60.98,220,10.35702,0,1010.1,10,Wednesday,FALSE,FALSE,-6.657364129,-7.933937618,FALSE
156,EWR,2013-07-11 6:00,N855UA,2013,7,11,601,604,-3,-24,UA,230,BOS,41,200,6,4,179,80.06,71.06,74.07,240,11.5078,0,1010.2,10,Thursday,FALSE,FALSE,-9.966047142,-5.7539,FALSE
157,EWR,2013-07-11 6:00,N178JB,2013,7,11,602,608,-6,-13,B6,2180,BOS,44,200,6,8,20,80.06,71.06,74.07,240,11.5078,0,1010.2,10,Thursday,FALSE,FALSE,-9.966047142,-5.7539,FALSE
158,EWR,2013-07-11 6:00,N415UA,2013,7,11,708,659,9,-11,UA,751,BOS,44,200,6,59,200,80.06,71.06,74.07,240,11.5078,0,1010.2,10,Thursday,FALSE,FALSE,-9.966047142,-5.7539,FALSE
159,EWR,2013-07-11 8:00,N296JB,2013,7,11,831,836,-5,24,B6,2280,BOS,42,200,8,36,20,80.06,71.06,74.07,250,12.65858,0,1010.9,10,Thursday,FALSE,FALSE,-11.89517422,-4.329489346,FALSE
160,EWR,2013-07-11 8:00,N77430,2013,7,11,807,807,0,-10,UA,1199,BOS,50,200,8,7,191,80.06,71.06,74.07,250,12.65858,0,1010.9,10,Thursday,FALSE,FALSE,-11.89517422,-4.329489346,FALSE
162,EWR,2013-07-11 11:00,N329JB,2013,7,11,1118,1125,-7,-8,B6,2380,BOS,42,200,11,25,20,80.96,64.94,58.25,300,10.35702,0,1011.2,10,Thursday,FALSE,FALSE,-8.969442428,5.17851,FALSE
164,EWR,2013-07-11 14:00,N274JB,2013,7,11,1447,1400,47,36,B6,2480,BOS,39,200,14,0,20,84.92,66.02,53.21,300,8.05546,0,1010.9,10,Thursday,FALSE,FALSE,-6.976232999,4.02773,FALSE
165,EWR,2013-07-11 14:00,N811UA,2013,7,11,1523,1459,24,25,UA,236,BOS,39,200,14,59,179,84.92,66.02,53.21,300,8.05546,0,1010.9,10,Thursday,FALSE,FALSE,-6.976232999,4.02773,FALSE
166,EWR,2013-07-11 16:00,N844UA,2013,7,11,1721,1659,22,7,UA,244,BOS,40,200,16,59,179,87.08,66.02,49.66,300,6.90468,0,1010.5,10,Thursday,FALSE,FALSE,-5.979628285,3.45234,FALSE
167,EWR,2013-07-11 17:00,N24702,2013,7,11,1748,1742,6,-8,UA,1686,BOS,44,200,17,42,149,86,62.96,46.19,300,9.20624,0,1010.7,10,Thursday,FALSE,TRUE,-7.972837713,4.60312,FALSE
168,EWR,2013-07-11 17:00,N368JB,2013,7,11,1721,1730,-9,-21,B6,2580,BOS,41,200,17,30,20,86,62.96,46.19,300,9.20624,0,1010.7,10,Thursday,FALSE,TRUE,-7.972837713,4.60312,FALSE
170,EWR,2013-07-11 20:00,N833UA,2013,7,11,2139,2059,40,24,UA,994,BOS,37,200,20,59,179,82.04,60.98,48.93,340,11.5078,0,1012.2,10,Thursday,FALSE,FALSE,-3.935899405,10.81379474,FALSE
171,EWR,2013-07-11 20:00,N238JB,2013,7,11,2035,2045,-10,-18,B6,2680,BOS,41,200,20,45,20,82.04,60.98,48.93,340,11.5078,0,1012.2,10,Thursday,FALSE,FALSE,-3.935899405,10.81379474,FALSE
172,EWR,2013-07-11 21:00,N38454,2013,7,11,2234,2129,65,49,UA,1451,BOS,39,200,21,29,191,80.06,62.96,55.97,10,11.5078,0,1012.9,10,Thursday,FALSE,FALSE,1.998308499,11.33297066,FALSE
173,EWR,2013-07-12 6:00,N416UA,2013,7,12,618,604,14,-11,UA,230,BOS,38,200,6,4,200,73.04,62.96,70.68,20,13.80936,0,1015.4,10,Friday,FALSE,FALSE,4.723079286,12.97655369,FALSE
174,EWR,2013-07-12 6:00,N373JB,2013,7,12,600,608,-8,-22,B6,2180,BOS,37,200,6,8,20,73.04,62.96,70.68,20,13.80936,0,1015.4,10,Friday,FALSE,FALSE,4.723079286,12.97655369,FALSE
175,EWR,2013-07-12 6:00,N33266,2013,7,12,642,650,-8,-23,UA,1106,BOS,34,200,6,50,149,73.04,62.96,70.68,20,13.80936,0,1015.4,10,Friday,FALSE,FALSE,4.723079286,12.97655369,FALSE
176,EWR,2013-07-12 8:00,N76529,2013,7,12,1013,807,126,115,UA,1199,BOS,41,200,8,7,149,75.02,64.04,68.69,30,11.5078,0,1016.1,10,Friday,FALSE,FALSE,5.7539,9.966047142,FALSE
178,EWR,2013-07-12 10:00,N24715,2013,7,12,1007,1015,-8,-20,UA,1163,BOS,37,200,10,15,149,78.08,64.04,62.05,40,14.96014,0,1016.5,10,Friday,FALSE,FALSE,9.616192631,11.46013212,FALSE
182,EWR,2013-07-12 14:00,N416UA,2013,7,12,1458,1459,-1,-8,UA,779,BOS,37,200,14,59,200,75.92,66.92,73.68,30,14.96014,0,1017,9,Friday,FALSE,FALSE,7.48007,12.95586128,FALSE
189,EWR,2013-07-12 21:00,N36476,2013,7,12,2224,2149,35,28,UA,1451,BOS,35,200,21,49,191,71.06,66.92,86.77,50,14.96014,0,1018.5,5,Friday,FALSE,FALSE,11.46013212,9.616192631,FALSE
